role,time_min,kills,deaths,assists,creeps,rank
3,21.670498293600374,12,6,6,208,A
4,35.18173865111277,0,2,24,27,B
2,30.59881173860466,5,4,9,241,A
4,38.21605341939626,0,3,15,26,D
4,28.154315413304506,3,1,14,46,B
1,31.69677263377764,4,6,5,145,C
2,32.830089625125034,6,5,5,318,A
2,25.94574408562653,9,2,4,232,S
2,37.50236089116094,11,3,2,323,A
4,22.1118309195328,0,3,20,15,C
3,33.42541650458265,14,1,6,333,S
2,23.124030158611987,9,3,4,173,A
4,27.03610012820705,2,8,28,53,C
1,35.36010870626419,5,1,5,207,B
3,33.30730416837809,9,4,8,302,A
1,36.4654642536006,8,4,7,211,B
3,30.472010943052233,14,0,2,258,S
4,23.900179608772316,2,4,19,37,C
0,32.0493966140691,6,2,3,252,A
3,21.865428935563397,13,2,5,163,A
1,37.79153236660984,7,1,4,228,A
4,31.50718346258197,1,3,15,9,C
3,20.367722843031945,12,7,2,180,A
0,34.941565342580574,12,4,7,258,A
0,32.119939345420505,6,1,4,235,A
2,39.9381843717871,12,8,3,328,B
2,22.527728448113344,12,8,3,163,B
1,25.17183182269568,5,6,5,132,C
3,30.96290405456044,10,5,4,275,A
3,36.110518271521144,4,4,5,270,B
2,20.49368314449169,7,4,3,151,B
3,36.00412695367159,12,5,9,344,A
3,39.82907135685584,8,3,9,373,S
0,33.52722135745448,6,3,3,293,A
2,25.072711110280764,13,4,5,200,A
4,22.555493055799808,2,5,21,14,C
2,33.30111978013262,9,0,2,279,S
4,29.97942233827532,0,3,17,17,C
0,25.97565742108503,13,0,6,237,S
1,27.13192351972411,4,5,9,116,C
3,36.3055266218112,13,3,4,352,S
0,31.06223942116743,11,5,3,274,A
3,27.774526957530934,11,7,8,234,A
1,22.760309740401034,8,6,9,121,B
1,30.63743533010033,11,7,6,204,B
0,29.2762849945536,12,4,8,232,A
1,29.7807155061524,5,5,11,147,C
4,22.664198482732573,2,2,14,26,C
1,33.86844256112618,5,0,10,224,S
3,29.99917983929577,8,8,7,237,B
3,29.841089787648013,8,2,9,220,A
3,39.26959894948655,5,6,4,307,B
3,35.43024123996975,10,2,9,259,A
4,31.71175367745225,2,6,23,3,C
2,25.913300785432384,13,5,3,220,A
0,33.7862082420538,6,5,2,298,A
3,37.95870586887474,10,7,4,281,B
1,37.87270506692268,8,2,10,204,B
3,23.79872272915122,12,5,7,190,A
1,38.83153705467868,6,5,8,192,C
1,21.13762795555293,10,4,9,103,B
